letter_id,text,label,start,end,score,model
letter_0001,Сарајево,LOC,0,8,,
letter_0001,Ivo Andrić,PER,95,105,,
letter_0002,Београд,LOC,0,7,,
letter_0002,Beograd,LOC,21,28,,
letter_0002,Beogradu,LOC,134,142,,
letter_0002,Dobronića,PER,477,486,,
letter_0002,Sczepanska,PER,568,578,,
letter_0002,Poljsku,LOC,642,649,,
letter_0002,Pripovetke,MISC,749,759,,
letter_0002,Srp. Knjiž. Zadruzi,ORG,774,793,,
letter_0002,Akademije,ORG,835,844,,
letter_0002,Ivo Andrić,PER,924,934,,
letter_0003,Београд,LOC,0,7,,
letter_0003,Beogradu,LOC,129,137,,
letter_0003,I. Andrić,PER,493,502,,
letter_0004,Атина,LOC,0,5,,
letter_0004,Carigrada,LOC,35,44,,
letter_0004,Atinu,LOC,59,64,,
letter_0004,Ivo Andrić,PER,100,110,,
letter_0005,Београд,LOC,0,7,,
letter_0005,Beograd,LOC,22,29,,
letter_0005,Tagblatta,ORG,120,129,,
letter_0005,Ivo Vojnović,PER,335,347,,
letter_0005,Dubrovnik,LOC,365,374,,
letter_0005,Ivo Andrić,PER,547,557,,
letter_0006,Вишеград,LOC,0,8,,
letter_0006,Maribora,LOC,67,75,,
letter_0006,Ivo Andrić,PER,170,180,,
letter_0006,Višegrad,LOC,181,189,,
letter_0006,Zdenka Marković,PER,217,232,,
letter_0006,Bad Villach,LOC,248,259,,
letter_0006,Eisen Kappel,LOC,264,276,,
letter_0006,Karnten,LOC,277,284,,
letter_0006,Austrija,LOC,285,293,,
letter_0007,Београд,LOC,0,7,,
letter_0007,Beograd,LOC,21,28,,
letter_0007,Ivo Andrić,PER,493,503,,
letter_0008,Mарсеј,LOC,0,6,,
letter_0008,Marseille,LOC,20,29,,
letter_0008,"51, rue St. Jacques",LOC,46,65,,
letter_0008,Višegradu,LOC,259,268,,
letter_0008,Ivo Andrić,PER,634,644,,
letter_0009,Mapcej,LOC,0,6,,
letter_0009,Marseille,LOC,21,30,,
letter_0009,"51, rue St. Jacques",LOC,47,66,,
letter_0009,uskrsa,EVENT,426,432,,
letter_0009,Provenci,LOC,446,454,,
letter_0009,Arles,LOC,456,461,,
letter_0009,Nimes,LOC,464,469,,
letter_0009,Avignon,LOC,472,479,,
letter_0009,Marseilla,LOC,540,549,,
letter_0009,Avignona,LOC,585,593,,
letter_0009,Boy-Želenski,PER,717,729,,
letter_0009,Zagrebu,LOC,896,903,,
letter_0009,Vijenac,ORG,933,940,,
letter_0009,Nevistić,PER,954,962,,
letter_0009,Ivo Andrić,PER,1236,1246,,
letter_0010,Maрсеј,LOC,0,6,,
letter_0010,Marseille,LOC,21,30,,
letter_0010,"51, rue St. Jacques",LOC,44,63,,
letter_0010,Zagreb,LOC,279,285,,
letter_0010,Grenobl,LOC,388,395,,
letter_0010,Francusku,LOC,608,617,,
letter_0010,Ivo Andrić,PER,677,687,,
letter_0011,Женева,LOC,0,6,,
letter_0011,Ženeva,LOC,20,26,,
letter_0011,"5, rue des Alpes",LOC,47,63,,
letter_0011,Zagreb,LOC,794,800,,
letter_0011,Beograd,LOC,841,848,,
letter_0011,Fribourgu,LOC,900,909,,
letter_0011,Ženeva,LOC,929,935,,
letter_0011,Tugomira Alaupovića,PER,1026,1045,,
letter_0011,Ivo Andrić,PER,1186,1196,,
letter_0011,Zdenka Marković,PER,1217,1232,,
letter_0011,Zagreb,LOC,1233,1239,,
letter_0011,Jurjevska ul. 19/I,LOC,1241,1259,,
letter_0011,Yougoslavie,LOC,1260,1271,,
letter_0012,Женева,LOC,0,6,,
letter_0012,Ženeva,LOC,20,26,,
letter_0012,"5, rue des Alpes",LOC,47,63,,
letter_0012,Hrvatske Revije,ORG,256,271,,
letter_0012,M. Krleže,PER,296,305,,
letter_0012,Andriji Ady,PER,326,337,,
letter_0012,I. Andrić,PER,606,615,,
letter_0013,Женева,LOC,0,6,,
letter_0013,Geneve,LOC,21,27,,
letter_0013,"5, re des Alpes",LOC,42,57,,
letter_0013,Zagreba,LOC,89,96,,
letter_0013,I. Andrić,PER,249,258,,
letter_0014,Женева,LOC,0,6,,
letter_0014,Ženeva,LOC,20,26,,
letter_0014,"5, rue des Alpes",LOC,45,61,,
letter_0014,Zagreba,LOC,116,123,,
letter_0014,Zagrebu,LOC,389,396,,
letter_0014,Fr. Schützom,PER,464,476,,
letter_0014,Uskrsa,EVENT,715,721,,
letter_0014,Frankfurta,LOC,730,740,,
letter_0014,Weimara,LOC,743,750,,
letter_0014,I. Andrić,PER,898,907,,
letter_0015,Берлин,LOC,0,6,,
letter_0015,Berlin,LOC,21,27,,
letter_0015,Zdenka,PER,63,69,,
letter_0015,Bron. Grabowskoga,PER,121,138,,
letter_0015,Uskrs,EVENT,229,234,,
letter_0015,Krakow,LOC,259,265,,
letter_0015,I. Andrić,PER,344,353,,
letter_0015,Zdenka Marković,PER,375,390,,
letter_0015,Zagreb,LOC,391,397,,
letter_0015,Dežmanova ul. 3/1,LOC,399,416,,
